Geneid	Sam1	Sam2	Sam3
Bifidobacterium longum	0.000161917	0.001040777	1.31e-05
Eubacterium sp. CAG:248	0.000121505	0.001021287	9.53e-05
Prevotella sp. CAG:279	7.39e-05	0.001100368	6.42e-05
Bacteroidales bacterium H8	6.54e-05	0.001132648	4.38e-05
Pseudogymnoascus sp. VKM F-4520 (FW-2644)	0.000136432	0.001134325	0
Roseburia inulinivorans CAG:15	6.4e-05	0.001230006	1.42e-05
Paraprevotella clara	7.46e-05	0.000389866	0.000864432
Bacteroides intestinalis CAG:564	2.53e-05	0.001106591	0.000205376
Pseudoflavonifractor capillosus	0.001364326	0	0
Escherichia sp. TW10509	0.000519678	0.000825077	2.82e-05
Prevotella corporis	0.000497133	0.00042002	0.000473485
Lachnospiraceae bacterium 2_1_58FAA	0.000219462	0.000977365	0.000205147
Clostridium sp. L2-50	1.88e-05	0.001324478	6.89e-05
Shigella phage SfIV	0.001080996	0.000335231	1.37e-05
Alistipes finegoldii CAG:68	1.86e-05	0.001266728	0.0001478
Firmicutes bacterium CAG:56	0	0.000293472	0.00114937
Paraprevotella clara CAG:116	4.43e-05	0.000252286	0.001157393
Prevotella disiens	0.000890298	0.000358991	0.00023476
Coprococcus sp. HPP0074	0.000115889	0.000539654	0.000837272
Parabacteroides sp. D25	0.000137187	0.000953214	0.000431157
Coprobacillus sp. CAG:235	5.92e-05	0.000793703	0.000669061
Lachnospiraceae bacterium 9_1_43BFAA	9.21e-05	0.000612173	0.000825853
Parabacteroides sp. CAG:2	9.78e-05	0.000917574	0.000517731
Butyricimonas virosa	6.22e-05	0.000488787	0.000996144
Blautia wexlerae	5.58e-05	0.000390527	0.001105974
Clostridia bacterium UC5.1-1F7	0.000998989	0.000485783	7.42e-05
Human herpesvirus 4	0	0.001586062	0
Odoribacter sp. Marseille-P2698	0.000727178	0.000343556	0.000533262
Cyanothece sp. CCY0110	0.000189952	0.001429188	0
[Eubacterium] rectale	0.00033689	0.001149541	0.000155226
Clostridium sp. AT5	0.000118854	0.001323798	0.000199339
Streptococcus pasteurianus	0.001489138	0.000139611	2.15e-05
Burkholderiales bacterium 1_1_47	4.52e-05	0.001032808	0.000584559
Bacteroides plebeius CAG:211	0.00042135	0.001254196	0
Bacteroides sp. 2_1_33B	6.75e-05	0.000861608	0.000770141
Parabacteroides sp. 2_1_7	0.000137809	0.000964021	0.00060219
Firmicutes bacterium CAG:212	0	0	0.001705489
Eubacterium ramulus	0.000250668	0.001387696	6.83e-05
Parasutterella excrementihominis	4.32e-05	0.001247957	0.000416335
Ureaplasma urealyticum	0	0.001715725	0
Alistipes sp. HGB5	0.000108704	0.00131423	0.000295798
Clostridium sp. CAG:299	0	0.001724592	0
Porphyromonas sp. 31_2	0.000423689	0.000995726	0.000315507
Prevotella baroniae	0.000584186	0.000271334	0.00089085
Ruminococcus sp. CAG:57	7.29e-05	0.000112689	0.001572929
Parabacteroides johnsonii	0.00104689	0.000386769	0.000346456
Enterococcus faecalis	0.001714807	8.83e-05	0
Eubacterium sp. CAG:38	0	0.000397485	0.001482371
Sutterella parvirubra	8.97e-06	0.001832288	4.11e-05
Parabacteroides goldsteinii	9.27e-05	0.001183027	0.000626779
Ruminococcus bicirculans	7.62e-05	0.000122532	0.001708933
Eubacterium eligens CAG:72	0.00033395	0.00153164	5.66e-05
Ruminococcus sp. N15.MGS-57	9.25e-05	0.000160989	0.001675991
Alcanivorax hongdengensis	0.000580863	0.001383425	0
butyrate-producing bacterium SS3/4	7.53e-05	0.001275467	0.000625127
Prevotella sp. 109	0.000690825	0.000509768	0.000799073
Roseburia faecis	5.29e-05	0.001884017	6.52e-05
Roseburia sp. CAG:18	5.2e-05	0.001969847	2.77e-05
Prevotella buccalis	0.000667375	0.00102265	0.000415271
Solibacillus silvestris	0.000315832	0.001799152	0
Ruminococcus lactaris	6.12e-05	0.000255401	0.001811074
Bacillus sp. Soil531	0.000170496	0.002032773	0
Cellulomonas carbonis	0	0.000119431	0.002093039
[Clostridium] clostridioforme	0.001009794	0.00110566	9.8e-05
Ralstonia solanacearum	0.001726436	0.000428068	6.38e-05
Odoribacter sp. N15.MGS-14	2.09e-05	0.000681209	0.001521738
Bacteroides nordii	0.001055479	0.000752476	0.000443076
Bacteroides paurosaccharolyticus	0.002310348	0	0
Odoribacter sp. UNK.MGS-12	4.12e-05	0.000629368	0.001644207
Clostridium sp. CAG:492	0	0	0.002325936
Odoribacter splanchnicus CAG:14	4.6e-05	0.00060378	0.001695545
Dorea longicatena	0.000110304	0.001915617	0.000321405
Bacteroides sp. 3_2_5	0.000166816	0.001343031	0.000843545
Clostridia bacterium UC5.1-2H11	0.001715872	0.000594044	8.35e-05
Bacteroides salyersiae	0.000262373	0.000945987	0.001196562
Odoribacter sp. N54.MGS-14	0.000108237	0.00061764	0.001790609
Prevotella sp. CAG:604	1.93e-05	0.000147211	0.002371328
Bacteroides sp. 2_1_22	0.00113753	0.000795517	0.000629135
Parabacteroides sp. D13	0.00031754	0.001363125	0.000936313
Bacteroides sp. D1	0.00114657	0.000810089	0.000680417
Bacteroidales bacterium H9	9.72e-05	0.002330875	0.000210573
uncultured Flavonifractor sp.	0.001796381	0.000681889	0.00017172
Firmicutes bacterium CAG:129	0	0.000585137	0.002074798
Sinorhizobium sp. GL28	7.75e-06	7.19e-05	0.002594605
Arthrobacter sp. Soil736	0.00031759	0.002417564	0
Alistipes finegoldii	0.00018554	0.002041108	0.000532283
Clostridium clostridioforme CAG:132	0.002736518	3.32e-05	0
Lachnospiraceae bacterium 7_1_58FAA	0.001694088	0.000993617	0.000133152
Barnesiella intestinihominis	0.000728387	0.000760865	0.001336989
Paeniglutamicibacter antarcticus	0.000278336	0.002562457	0
Bacteroides sp. D2	0.001958693	0.000647663	0.000255663
Bacteroides sp. 3_1_19	0.000429896	0.001712633	0.000737718
Clostridium sp. CAG:43	4.31e-05	0.001500784	0.001382908
Klebsiella pneumoniae	0.000113539	0.002525715	0.000354284
Salmonella phage epsilon34	0.002974253	0	3.93e-05
Clostridium sp. CAG:138	4.85e-05	0.003009918	0
Clostridium sp. ATCC BAA-442	0.001515349	0.000955286	0.000591794
Clostridium sp. C105KSO14	0.003073832	3.66e-05	0
Bacteroides finegoldii CAG:203	0.000178983	0.000374121	0.002595107
Parabacteroides merdae CAG:48	8.56e-05	0.001851177	0.001220492
Roseburia inulinivorans	0.000165001	0.002811988	0.000194698
Bacteroides sp. D22	0.001461149	0.001230772	0.000533773
Bacteroides sp. UNK.MGS-14	6.37e-05	0.002218499	0.001037459
Bacteroides eggerthii	0.000239274	0.001522848	0.001561691
Proteus mirabilis	0.003232076	0.000102572	0
Sutterella sp. KLE1602	5.92e-05	0.003302852	0
Sutterella wadsworthensis CAG:135	5.99e-05	0.003304432	1.47e-05
Bilophila wadsworthia	0.00039917	0.002183487	0.000803918
Enterobacteria phage If1	0.003492397	0	0
Alistipes obesi	0.000432806	0.001855595	0.001217231
Bacteroides sartorii	0.000182884	0.001342828	0.00199714
Lactobacillus delbrueckii	0	0.003550238	0
Bacteroides fluxus	0.00046605	0.000547857	0.002560173
Bacteroides plebeius	0.000510296	0.001518447	0.001577164
[Clostridium] bolteae	0.002461689	0.001133622	0.000111702
Alistipes sp. AL-1	0.00028765	0.001637728	0.001781819
Bacteroides sp. 1_1_30	0.001532381	0.001854561	0.000486364
Alistipes onderdonkii	0.000122441	0.001990394	0.001945686
Prevotella sp. CAG:732	0	8.12e-05	0.004065704
Parabacteroides sp. D26	0.000578652	0.001813145	0.001764887
Firmicutes bacterium CAG:103	5.37e-05	0.00053939	0.003588247
Waddlia chondrophila	0.000751429	0.003439577	0
Tannerella sp. 6_1_58FAA_CT1	0.000625127	0.000634777	0.002990621
Bacteroides gallinarum	0.002426867	0.00101435	0.000840302
Citrobacter phage CR44b	0	0.004289435	0
Escherichia sp. KTE172	0.002314053	0.001747632	0.000260363
Bacteroides ovatus CAG:22	0.002677359	0.001143651	0.000586314
Clostridiales bacterium VE202-03	0.002861323	0.001346221	0.000205136
Bacteroides sp. 2_1_56FAA	0.000424391	0.001613686	0.002467416
Bacteroides sp. 3_1_23	0.003120897	0.001010283	0.000385857
Paraprevotella xylaniphila	9.74e-05	0.000707147	0.003741551
Firmicutes bacterium CAG:102	3.88e-05	0.002070318	0.002510666
Bacteroides intestinalis	0.000176243	0.003198614	0.001255683
Clostridium sp. CAG:7	0.000212961	0.000695132	0.003778277
[Ruminococcus] gnavus	0.000584066	0.003599553	0.000654008
Bacteroides fragilis CAG:47	0.000543208	0.003628888	0.000747862
Ruminococcaceae bacterium AM2	0.004962614	0	0
Bacteroides sp. 2_1_16	0.000224665	0.002209024	0.002547918
Bacteroides sp. 3_1_13	0.002313008	0.00172167	0.000955129
Prevotella sp. CAG:386	3.93e-05	6.56e-05	0.00498462
Bacteroides uniformis CAG:3	0.000531777	0.003093018	0.001494961
Haemophilus parainfluenzae	5.97e-05	0.003827929	0.001396737
Prevotella sp. CAG:1092	0	0	0.00533405
Eubacterium sp. CAG:252	6.72e-05	0.005419676	2.6e-05
Bacteroides cellulosilyticus	0.000822886	0.002508441	0.002187232
Parabacteroides sp. 20_3	0.000396746	0.003694875	0.001501954
uncultured Bacteroides sp.	0.001671878	0.001096027	0.002899525
uncultured Faecalibacterium sp.	0.000386691	0.002667274	0.002654134
Bacteroides finegoldii	0.000973797	0.00176546	0.003049103
Shigella dysenteriae	0.005202822	0.000677547	6.49e-05
Prevotella sp. KHD1	0.000378908	0.000669863	0.004955768
Bacteroides sp. 2_2_4	0.002661183	0.001508756	0.001852636
Bacteroides faecis	0.001293646	0.000642725	0.004140669
Clostridium nexile CAG:348	0.004713421	0.001370089	0
Proteobacteria bacterium CAG:139	1.12e-05	0.000558347	0.005661489
Morganella sp. EGD-HP17	0.006071871	0.000205007	0
Blautia sp. CAG:37	5.48e-05	0.001470606	0.004823237
Bacteroides coprocola CAG:162	0.000610323	0.005778176	0
Enterobacteria phage EcoDS1	0	0.00649226	0
Tyzzerella nexilis	0.004852041	0.001521505	0.000263135
Flavonifractor plautii	0.004513248	0.0018494	0.00029455
Bacteroides sp. D20	0.00066581	0.004235429	0.001838263
Bacteroides sp. CAG:20	0.000206086	0.000402606	0.006170668
Acinetobacter sp. N54.MGS-139	1.17e-05	0.000548044	0.006274606
Phascolarctobacterium sp. CAG:207	0.000237433	0.001747963	0.004855334
Shigella sp. SF-2015	0.006168754	0.000674612	7.38e-05
Odoribacter splanchnicus	0.000226019	0.001933766	0.004768029
Carnobacterium sp. N15.MGS-207	0.000235234	0.001843022	0.004959334
Alistipes shahii	0.000280481	0.006482103	0.00122533
Bacteroides fragilis CAG:558	8.16e-05	0.008045263	0.0003401
Bacteroides massiliensis	0.001056214	0.003355476	0.004087271
Escherichia sp. 3_2_53FAA	0.002453003	0.002722345	0.003990309
Sutterella wadsworthensis	0.00029152	0.0093587	7.65e-05
Burkholderia sp. K4410.MGS-135	0.000108979	0.009605843	2.55e-05
Mycobacterium sp. 1554424.7	0.000879635	0.008921622	0
Shigella flexneri	0.008825847	0.000914952	8.09e-05
Bacteroides sp. 4_1_36	0.001054895	0.004448557	0.004323485
Alistipes sp. CAG:53	0.00033733	0.007770311	0.001804594
Shigella boydii	0.009144696	0.000952713	8.32e-05
Escherichia sp. 4_1_40B	0.009543305	0.000845234	4.36e-05
Escherichia fergusonii	0.001712264	0.007709169	0.001195927
Bacteroides caccae CAG:21	0.000125205	0.001999646	0.008546294
Escherichia phage PE3-1	0	0.01072668	0
Bacteroidia bacterium UC5.1-2G11	0.00630017	0.002114332	0.002319367
Shigella sonnei	0.009626067	0.001084232	8.63e-05
Bacteroides fragilis	0.000741853	0.005313508	0.004868579
Eubacterium sp. CAG:76	0.000121554	0.002579037	0.008675406
Alistipes sp. CAG:29	9.95e-05	0.004662486	0.006619218
Bacteroides coprocola	0.000936818	0.006101026	0.004539924
Bacteroides sp. UW	0.000749332	0.008056363	0.00307608
Faecalibacterium prausnitzii	0.000702168	0.007619307	0.004091305
Enterobacteria phage P4	0.012660086	0	0
Prevotella stercorea CAG:629	3.52e-05	0.012628689	2.56e-05
Fusobacterium mortiferum	0.000126657	0.012623886	4.13e-05
Bacteroides dorei CAG:222	0.008797075	0.002127162	0.001988852
Bacteroides caccae	0.000548388	0.003489296	0.008906372
Bacteroides sp. 9_1_42FAA	0.008261519	0.002470863	0.002355707
Parabacteroides distasonis	0.000643223	0.007329364	0.005413007
Bacteroides coprophilus	0.00085755	0.003623051	0.009259712
Bacteroides xylanisolvens	0.005599069	0.004359229	0.003840072
Caulobacter sp. Root656	0.001011937	0.013253086	0
Escherichia sp. 1_1_43	0.013420206	0.001019126	7.27e-05
Morganella morganii	0.015959323	0.000596015	3.07e-05
Escherichia phage TL-2011b	0.015430454	0.001967826	7.6e-05
Leuconostoc sp. DORA_2	0.003032775	0.014648753	1.58e-05
Enterobacteria phage HK629	0.000230138	0.01744422	6.66e-05
Enterobacteria phage lambda	0.000308924	0.017373682	0.000100146
Alistipes putredinis CAG:67	0.000413271	0.007053998	0.010325506
Bacteroides stercoris CAG:120	0.000371254	0.016385239	0.001103487
Enterobacteria phage HK630	0.000231106	0.017567128	6.69e-05
Bacteroides sp. 3_1_33FAA	0.008238104	0.003213018	0.006672481
Parabacteroides merdae	0.000599436	0.014323842	0.003616225
Bacteroides uniformis	0.00300826	0.01111284	0.00443747
Mycobacterium sp. 1100029.7	0.001752149	0.017032301	0
Bacteroides ovatus	0.012866483	0.00493233	0.001767445
Bacteroides sp. 1_1_6	0.016518178	0.001959875	0.002456308
Prevotella stercorea	0.000353387	0.017892945	0.004480735
Mycobacterium leprae	0.003312593	0.020113356	0
Bacteroides sp. 3_1_40A	0.001956786	0.011021551	0.015214654
Bacteroides sp. 4_3_47FAA	0.001468773	0.011197188	0.016940248
Sulfolobus acidocaldarius	0.003056062	0.027093569	0
Bacteroides vulgatus CAG:6	0.001233345	0.013304215	0.015800805
Bacteroides sp. 1_1_14	0.031250511	0.001438086	0.000422189
Enterobacteria phage K1F	0	0.038935527	0
Shigella sp. PAMC 28760	0.040519133	0.000699291	2.69e-05
Bacteroides stercoris	0.001250536	0.037142246	0.003293949
Bacteroides thetaiotaomicron CAG:40	0.043354787	0.001531714	0.000478475
Escherichia phage phiV10	0.045113092	0.002479025	1.24e-05
Alistipes putredinis	0.000937189	0.014610999	0.032511795
Bacteroides dorei	0.031560332	0.010248513	0.010741067
Bacteroides thetaiotaomicron	0.09161919	0.007930637	0.00255694
Enterobacteria phage phiX174 sensu lato	0.116190109	0.030145417	0.004415171
Bacteroides vulgatus	0.006892243	0.069013939	0.092019032
Prevotella copri	0.000553978	0.001861174	0.170748195
Escherichia coli	0.191071075	0.010438889	0.001222277
Prevotella copri CAG:164	0.000520826	0.00242997	0.272008237
